"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"10622735","09003332710000431000000000U5","3D SMART LABS",,"332710","Maquinado de piezas metálicas para maquinaria y equipo en general","0 a 5 personas","CALLE","ODONTOLOGIA","EJE VIAL","10 SUR (AVENIDA COPILCO)","CALLE","ODONTOLOGIA","EJE VIAL","10 SUR (AVENIDA COPILCO)","74","B",,,,,"COLONIA","COPILCO UNIVERSIDAD",,,,"04360","09","CIUDAD DE MÉXICO","003","Coyoacán","0001","Coyoacán                                                                                                      ","054A","001","5512401689","CONTACTO@3DSMARTLABS.COM","WWW.3DSMARTLABS.COM.MX","Fijo","19.33545361","-99.18093062","2024-11"
"839746","09007332810000031001000000U2","ACABADOS METALICOS MENDOZA",,"332810","Recubrimientos y terminados metálicos","6 a 10 personas","CALLE","URSULO GALVAN","CALLE","20 DE NOVIEMBRE","CALLE","16 DE SEPTIEMBRE","CALLE","IGNACIO MANUEL ALTAMIRANO","49",,,,,,"COLONIA","CARLOS HANK GONZÁLEZ",,,,"09700","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa                                                                                                    ","3030","021",,,,"Fijo","19.33154035","-99.04655956","2010-07"
"9343459","09006332320002211000000000U0","ACABADOS PARA LA CONSTRUCCION",,"332320","Fabricación de productos de herrería","0 a 5 personas","CERRADA","TERCERA AZAFRAN","CALLE","CHICLE","CALLE","BREA","CALLE","AVENA","12",,,,"0","SN","COLONIA","GRANJAS MÉXICO",,,,"08400","09","CIUDAD DE MÉXICO","006","Iztacalco","0001","Iztacalco                                                                                                     ","0293","006",,"FERRUZ_52@YAHOO.COM",,"Fijo","19.4025811","-99.10795676","2021-05"
"810976","09006332810000103001000000U1","ACABADOS SORIA",,"332810","Recubrimientos y terminados metálicos","6 a 10 personas","PRIVADA","SEGUNDA ORIENTE 249","CALLE","ORIENTE 245-D","CALLE","PRIMERA ORIENTE 249","CALLE","PRIMERA ORIENTE 249","16",,,,,,"COLONIA","AGRÍCOLA ORIENTAL",,,,"08500","09","CIUDAD DE MÉXICO","006","Iztacalco","0001","Iztacalco                                                                                                     ","019A","014","5557581509","ACABSORIA@YAHOO.COM.MX",,"Fijo","19.40195782","-99.06704649","2010-07"
"9041076","09015332810000541000000000U3","ACABADOS VICKY",,"332810","Recubrimientos y terminados metálicos","0 a 5 personas","CALLE","JUAN A MATEOS","CALLE","BOLIVAR","CALLE","ISABEL LA CATOLICA","CALLE","RAFAEL DELGADO","57",,,,,,"COLONIA","OBRERA",,,,"06800","09","CIUDAD DE MÉXICO","015","Cuauhtémoc","0001","Cuauhtémoc                                                                                                    ","1252","002","5540355138",,,"Fijo","19.41057661","-99.14113548","2019-11"
"634887","09002332710000591001000000U8","ACCESORIOS PARA TUBERIA CODIT",,"332710","Maquinado de piezas metálicas para maquinaria y equipo en general","11 a 30 personas","AVENIDA","SAN PABLO XALPA","CALLE","ANGELES","AVENIDA","REAL DE SAN MARTIN","CERRADA","PRIMERA REAL DE SAN MARTIN","201",,,,"0","K","PUEBLO","SANTA BÁRBARA",,,,"02230","09","CIUDAD DE MÉXICO","002","Azcapotzalco","0001","Azcapotzalco                                                                                                  ","0133","009",,,,"Fijo","19.49692571","-99.18467643","2010-07"
"12283514","09007332610000502000000000U6","ACERERA COSMOPOLITA","ACERERA COSMOPOLITA","332610","Fabricación de alambre, productos de alambre y resortes","6 a 10 personas","CALLE","SUR 25","CALLE","10","CALLE","8","CALLE","SUR 27","191",,,,,,"COLONIA","LEYES DE REFORMA",,,,"09300","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa                                                                                                    ","1000","020",,,,"Fijo","19.3608778","-99.06925421","2026-04"
"682619","09002332320001261000000000U5","ACERO ARTE MEXICO",,"332320","Fabricación de productos de herrería","0 a 5 personas","CALLE","JESUS CAPISTRAN","CALLE","ADRIAN CASTREJON","CALLE","GENERAL JOAQUIN AMARO","CALLE","PLUTARCO ELIAS CALLES","78",,,,,,"COLONIA","AMPLIACIÓN SAN PEDRO XALPA",,,,"02719","09","CIUDAD DE MÉXICO","002","Azcapotzalco","0001","Azcapotzalco                                                                                                  ","0612","003","5560656910",,"WWW.ACEROARTEDEMEXICO.COM.MX","Fijo","19.47734363","-99.21695622","2014-12"
"10425196","09007332320013561000000000U3","ACERO INOXIDABLE Y VIDRIO",,"332320","Fabricación de productos de herrería","0 a 5 personas","CALLE","NIÑOS HEROES","CALLE","AGUSTIN DE ITURBIDE","CALLE","AGUSTIN MELGAR","CALLE","AGUSTIN DE ITURBIDE","3",,,,,,"COLONIA","SAN SIMÓN CULHUACAN",,,,"09800","09","CIUDAD DE MÉXICO","007","Iztapalapa","0001","Iztapalapa                                                                                                    ","1778","003","5527651728","IGNACIOLUNAFLORES@GMAIL.COM",,"Fijo","19.33633898","-99.10395254","2024-11"
"661627","09017332430000022002000000U7","ACERO MOCTEZUMA",,"332430","Fabricación de envases metálicos de calibre ligero","6 a 10 personas","AVENIDA","AVENIDA DEL PEÑON","CALLE","NORTE 176","CALLE","NORTE 180","CALLE","ORIENTE 37",,"SN",,,"2",,"COLONIA","MOCTEZUMA SEGUNDA SECCIÓN",,,,"15520","09","CIUDAD DE MÉXICO","017","Venustiano Carranza","0001","Venustiano Carranza                                                                                           ","0460","002","4291263163","ACEROSMOCTEZUMA@GMAIL.COM",,"Fijo","19.4389491","-99.08844766","2010-07"
